call_id,arm,final_disposition,claims_already_paid,debtor_state_at_close,difficulty_response
aa7a0f52b8b2,ia,acepta_total,0,cooperativo,insiste_o_presiona
71007f917994,ia,sin_cierre,0,evasivo,ofrece_sin_reconocer
00050a5a5674,ia,acepta_total,0,cooperativo,reconoce_y_ofrece
75f211ed7620,ia,no_aplica,0,,no_aplica
7d38ddfa56fc,ia,,0,,no_aplica
cbfa02e73a1f,ia,no_aplica,0,molesto,no_aplica
2829a637135c,ia,acepta_total,0,cooperativo,reconoce_y_ofrece
b02b6342e729,ia,rechazo_o_disputa,0,angustiado,reconoce_y_ofrece
0a466183129e,ia,no_aplica,0,,no_aplica
f163e6bb1b81,ia,acepta_vago,0,cooperativo,reconoce_y_ofrece
81b4d8c10e1a,ia,acepta_vago,0,cooperativo,no_aplica
5dd89c66b541,ia,no_aplica,0,,no_aplica
29fb228a19fd,ia,acepta_parcial,0,cooperativo,ofrece_sin_reconocer
063cb19206a3,ia,no_aplica,0,,no_aplica
85628d6c1d98,humano,acepta_total,0,evasivo,ofrece_sin_reconocer
6cb8e56b159a,humano,acepta_total,0,cooperativo,no_aplica
318b890bdd77,humano,no_aplica,0,cooperativo,no_aplica
5a9a24c5ec31,humano,no_aplica,0,,no_aplica
97c3dcf9bb38,humano,acepta_total,0,cooperativo,ofrece_sin_reconocer
0403a6fb55fe,humano,acepta_alcance_indeterminado,0,cooperativo,ofrece_sin_reconocer
6987e6d7d3e9,humano,acepta_total,0,cooperativo,insiste_o_presiona
db6af137ea52,humano,acepta_vago,0,,no_aplica
4a9b61287a50,humano,acepta_parcial,0,cooperativo,reconoce_y_ofrece
150d02a7c771,humano,acepta_total,0,cooperativo,no_aplica
c782aed56817,humano,sin_cierre,0,cooperativo,ofrece_sin_reconocer
1c09ceda85ff,humano,sin_cierre,0,evasivo,no_aplica
443b280c18d0,humano,no_aplica,1,cooperativo,no_aplica
97e516a7fc91,humano,acepta_alcance_indeterminado,0,cooperativo,reconoce_y_ofrece
f2ff42d64ffc,humano,acepta_parcial,0,cooperativo,no_aplica
fb033bba93fc,humano,sin_cierre,0,evasivo,no_aplica
80ffea2fa6cb,humano,sin_cierre,0,angustiado,insiste_o_presiona
1ea5f30bd3c5,humano,no_aplica,0,,
2d389f70e207,humano,acepta_total,0,cooperativo,reconoce_y_ofrece
271929a77300,humano,acepta_vago,0,cooperativo,no_aplica
99a823774d2f,humano,,0,cooperativo,no_aplica
3b31e33f03e3,humano,sin_cierre,0,cooperativo,ofrece_sin_reconocer
ea6ed6c3b943,humano,acepta_vago,0,cooperativo,no_aplica
14406d5176d9,humano,sin_cierre,0,angustiado,reconoce_sin_ofrecer
ea266c6b95dc,humano,,0,cooperativo,no_aplica
b82d9211239b,humano,acepta_total,0,cooperativo,reconoce_y_ofrece
4b38a8cafdd7,humano,acepta_total,0,cooperativo,no_aplica
2e053d0ec6fc,humano,rechazo_o_disputa,0,molesto,insiste_o_presiona
3eb0575980b9,humano,acepta_parcial,0,cooperativo,reconoce_y_ofrece
716db033fad9,humano,sin_cierre,0,angustiado,ofrece_sin_reconocer
8cec517be5dd,humano,sin_cierre,0,,no_aplica
bd379d16ff03,humano,rechazo_o_disputa,0,molesto,no_aplica
dd4656e5387e,humano,no_aplica,1,cooperativo,no_aplica
d8d8659eae50,humano,acepta_parcial,0,cooperativo,no_aplica
071c1ae657bf,humano,acepta_vago,0,evasivo,no_aplica
4fb3ce4b68a6,humano,acepta_alcance_indeterminado,0,cooperativo,reconoce_y_ofrece
67c0d6ae1450,humano,sin_cierre,0,cooperativo,insiste_o_presiona
b6e22b338efd,humano,acepta_total,0,cooperativo,no_aplica
a1cf7aac72c5,humano,acepta_total,0,cooperativo,no_aplica
0c25eda1ed56,humano,no_aplica,0,molesto,no_aplica
4cf81c926524,humano,acepta_parcial,0,cooperativo,no_aplica
f5fb2c3cd60c,humano,no_aplica,0,cooperativo,no_aplica
cc57a1380342,humano,acepta_vago,0,cooperativo,ofrece_sin_reconocer
c66b11ee9b07,humano,acepta_total,0,cooperativo,no_aplica
3a06da8b8340,humano,acepta_total,0,cooperativo,no_aplica
7791622d2f63,humano,,0,,reconoce_y_ofrece
bdaf4ab14374,humano,acepta_total,0,cooperativo,no_aplica
e47a7d8f10d8,humano,acepta_alcance_indeterminado,0,cooperativo,reconoce_y_ofrece
4a40f3181631,humano,sin_cierre,0,angustiado,reconoce_y_ofrece
2d7aab3c042c,humano,acepta_alcance_indeterminado,0,cooperativo,ofrece_sin_reconocer
